resposta,comentario,sentimento
5,"Muito bom, superou minhas expectativas!",Positivo
0,"Excelente serviço, muito satisfeito!",Positivo
3,"Bom atendimento, mas pode melhorar.",Neutro
3,"Não gostei muito, precisa melhorar bastante.",Negativo
7,"Serviço péssimo, não recomendo.",Negativo
9,"Não gostei muito, precisa melhorar bastante.",Negativo
3,"Excelente serviço, muito satisfeito!",PositivoPositivo
5,"Estou neutro, não foi bom nem ruim.",Neutro
2,"Não gostei muito, precisa melhorar bastante.",Negativo
4,"Fantástico, recomendarei a todos!",Positivo
7,"Excelente serviço, muito satisfeito!",Positivo
6,Não tenho certeza se recomendaria.,Neutro
8,"Muito bom, superou minhas expectativas!",Positivo
8,Desapontado com o serviço prestado.,Negativo
10,"Excelente serviço, muito satisfeito!",Positivo
1,"Fantástico, recomendarei a todos!",Positivo
6,"Não gostei muito, precisa melhorar bastante.",Negativo
7,"Fantástico, recomendarei a todos!",Positivo
7,Não tenho certeza se recomendaria.,Neutro
8,"Não gostei muito, precisa melhorar bastante.",Negativo
1,Desapontado com o serviço prestado.,Negativo
5,"Não gostei muito, precisa melhorar bastante.",Negativo
9,"Estou neutro, não foi bom nem ruim.",Neutro
8,"Estou neutro, não foi bom nem ruim.",Neutro
9,"Não gostei muito, precisa melhorar bastante.",Negativo
4,"Estou neutro, não foi bom nem ruim.",Neutro
3,"Serviço péssimo, não recomendo.",Negativo
0,"Bom atendimento, mas pode melhorar.",Neutro
3,"Não gostei muito, precisa melhorar bastante.",Negativo
5,Desapontado com o serviço prestado.,Negativo
0,"Fantástico, recomendarei a todos!",Positivo
2,"Bom atendimento, mas pode melhorar.",Neutro
3,"Serviço péssimo, não recomendo.",Negativo
8,"Fantástico, recomendarei a todos!",Positivo
1,"Razoável, tem pontos a melhorar.",Neutro
3,"Ótimo, continuem assim!",Positivo
3,"Não gostei muito, precisa melhorar bastante.",Negativo
3,"Estou neutro, não foi bom nem ruim.",Neutro
7,"Excelente serviço, muito satisfeito!",Positivo
0,"Excelente serviço, muito satisfeito!",Positivo
1,"Razoável, tem pontos a melhorar.",Neutro
9,"Excelente serviço, muito satisfeito!",Positivo
9,"Razoável, tem pontos a melhorar.",Neutro
0,"Estou neutro, não foi bom nem ruim.",Neutro
10,"Fantástico, recomendarei a todos!",Positivo
4,"Estou neutro, não foi bom nem ruim.",Neutro
7,"Ótimo, continuem assim!",Positivo
3,"Ótimo, continuem assim!",Positivo
2,"Ótimo, continuem assim!",Positivo
7,"Não gostei muito, precisa melhorar bastante.",Negativo
2,"Estou neutro, não foi bom nem ruim.",Neutro
0,"Não gostei muito, precisa melhorar bastante.",Negativo
